"msdnID","locale","Product family version","Target URL"
"c229de09-cfa6-4829-9c9a-8ff63500eaf4","en-us","","https://msdn.microsoft.com/XXX/getconsolealiasexes"
"4f23bbb1-3e43-47a9-b91a-e91529b07fb5","en-us","","https://msdn.microsoft.com/XXX/getconsolealiasexeslength"
"9e0af6d9-0f5c-45b3-a686-22449d26de47","en-us","","https://msdn.microsoft.com/XXX/getconsolecp"
"6200577d-8d84-46bd-9330-d0b6cbbb3e52","en-us","","https://msdn.microsoft.com/XXX/getconsolecursorinfo"
"e19ff900-a671-41d3-a9c8-9e4507c47eff","en-us","","https://msdn.microsoft.com/XXX/getconsoledisplaymode"
"51b1f58d-b3fb-4e09-8398-671b3959bb01","en-us","","https://msdn.microsoft.com/XXX/getconsolefontsize"
"145008b3-8a4a-4e6a-9144-ee787ce90ef4","en-us","","https://msdn.microsoft.com/XXX/getconsolehistoryinfo"
"49adf618-196d-4490-93ca-cd177807f58e","en-us","","https://msdn.microsoft.com/XXX/getconsolemode"
"e3dd02f4-4899-4df0-a960-3b2625c15fee","en-us","","https://msdn.microsoft.com/XXX/getconsoleoriginaltitle"
"c23706c7-ce17-4825-a494-20ca44534d45","en-us","","https://msdn.microsoft.com/XXX/getconsoleoutputcp"
"3d21103b-662d-4393-ae3f-773cd9e4a930","en-us","","https://msdn.microsoft.com/XXX/getconsoleprocesslist"
"eafe819e-a99a-4ce1-8898-8860444a31af","en-us","","https://msdn.microsoft.com/XXX/getconsolescreenbufferinfo"
"60534226-d26f-44e2-a4cc-64811882e308","en-us","","https://msdn.microsoft.com/XXX/getconsolescreenbufferinfoex"
"912efe9d-75dd-43bd-8dca-08671b5ed79c","en-us","","https://msdn.microsoft.com/XXX/getconsoleselectioninfo"
"c58bba36-9813-4bdc-83bf-30d55f8d7d79","en-us","","https://msdn.microsoft.com/XXX/getconsoletitle"
"a5ab0b37-45ac-4413-b6ff-73876556ad38","en-us","","https://msdn.microsoft.com/XXX/getconsolewindow"
"347508ea-5c15-4568-b99f-1e7f5cdac8c1","en-us","","https://msdn.microsoft.com/XXX/getcurrentconsolefont"
"97d8e730-4110-4be5-b099-0acc1b6f8eb5","en-us","","https://msdn.microsoft.com/XXX/getcurrentconsolefontex"
"3e5897f3-4987-4a82-ab19-06c0b231ba67","en-us","","https://msdn.microsoft.com/XXX/getlargestconsolewindowsize"
"1083b4f1-8fa6-4054-a516-3b447c3b0130","en-us","","https://msdn.microsoft.com/XXX/getnumberofconsoleinputevents"
"78a6a3be-b42f-4a7a-a612-b6a2019cfec2","en-us","","https://msdn.microsoft.com/XXX/getnumberofconsolemousebuttons"
"23cd76e9-671a-48d0-9b82-2beda8917348","en-us","","https://msdn.microsoft.com/XXX/getstdhandle"
"2e8732fa-7dfd-415b-b2fc-c27a400496f2","en-us","","https://msdn.microsoft.com/XXX/handlerroutine"
"9982dc20-43bd-4ee3-a68d-157c9134daca","en-us","","https://msdn.microsoft.com/XXX/peekconsoleinput"
"1aa9ecac-a9b9-4e6d-9206-7a57013de657","en-us","","https://msdn.microsoft.com/XXX/readconsole"
"5a9f7b18-cdea-4041-a377-5532d30e0105","en-us","","https://msdn.microsoft.com/XXX/readconsoleinput"
"d1391684-6a8f-4b5e-9706-11970a957710","en-us","","https://msdn.microsoft.com/XXX/readconsoleoutput"
"c3e35779-a487-47f1-8d07-0d5fae99d54a","en-us","","https://msdn.microsoft.com/XXX/readconsoleoutputattribute"
